ID,Work Item Type,Title,State,Effort,Value Area,Iteration Path,Tags
"534","Product Backlog Item","Melding nieuwe aanmelding","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint3",
"549","Product Backlog Item","Database opschonen en opvullen met normale test data.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint2",
"525","Product Backlog Item","Registratieformulier toezichthouder popup en layout","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint2",
"444","Product Backlog Item","Dashboard ontwerp voor ervaringsdeskundige","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"579","Product Backlog Item","IEDEREEEN Voldoet aan standaardvereisten aan styling","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint4",
"578","Product Backlog Item","Ervaringsdeskundige dashboard","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint3",
"580","Product Backlog Item","Database opschonen","Approved",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint4",
"581","Product Backlog Item","API documentatie","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint4",
"574","Product Backlog Item","APi verbetering","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint4",
"573","Product Backlog Item","Beheerder alle gebruikers pagina","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint4",
"195","Product Backlog Item","Optioneel: Als organisatie wil ik e-mailnotificaties ontvangen bij statusveranderingen van onderzoeken, goedkeuren van nieuwe ervaringsdeskundigen en goedkeuren van inschrijvingen.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint4",
"185","Product Backlog Item","Gepersonaliseerde onderzoeken voor deelname","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint2",
"167","Product Backlog Item","Goedkeuren registraties","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"299","Product Backlog Item","Styling","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
